"diabetes","sex","agegrp","period","deaths","pyar","age"
0,"F","21-25","2006-2010",156,747507.195071876,23
0,"F","21-25","2011-2015",199,1055452.30869269,23
0,"F","26-30","1996-2000",371,956571.699815603,28
0,"F","26-30","2001-2005",261,917011.334966867,28
0,"F","26-30","2006-2010",225,805180.68065292,28
0,"F","26-30","2011-2015",216,968178.025325129,28
0,"F","31-35","1996-2000",563,1020272.92831989,33
0,"F","31-35","2001-2005",470,962880.045600874,33
0,"F","31-35","2006-2010",369,924741.446995416,33
0,"F","31-35","2011-2015",323,982760.071717758,33
0,"F","36-40","1996-2000",957,933048.742417703,38
0,"F","36-40","2001-2005",818,1021901.07501119,38
0,"F","36-40","2006-2010",619,963227.002146311,38
0,"F","36-40","2011-2015",531,1108523.22536676,38
0,"F","41-45","1996-2000",1523,902343.592060241,43
0,"F","41-45","2001-2005",1312,927278.984941832,43
0,"F","41-45","2006-2010",1180,1014280.56468174,43
0,"F","41-45","2011-2015",1011,1151974.95003424,43
0,"F","46-50","1996-2000",2574,925049.5598905,48
0,"F","46-50","2001-2005",2209,886843.904859694,48
0,"F","46-50","2006-2010",1879,911145.734428486,48
0,"F","46-50","2011-2015",1876,1195818.96509242,48
0,"F","51-55","1996-2000",4001,936159.399041765,53
0,"F","51-55","2001-2005",3508,897098.513347036,53
0,"F","51-55","2006-2010",3088,859463.755646826,53
0,"F","51-55","2011-2015",2964,1073180.06365505,53
0,"F","56-60","1996-2000",4870,716470.403832999,58
0,"F","56-60","2001-2005",5243,894034.707734442,58
0,"F","56-60","2006-2010",4569,856414.958932249,58
0,"F","56-60","2011-2015",4411,986363.752224514,58
0,"F","61-65","1996-2000",7053,602428.35660507,63
0,"F","61-65","2001-2005",6145,669428.56194388,63
0,"F","61-65","2006-2010",6888,835944.384668047,63
0,"F","61-65","2011-2015",6775,957785.318959627,63
0,"F","66-70","1996-2000",10315,541864.2936345,68
0,"F","66-70","2001-2005",8641,543421.442162905,68
0,"F","66-70","2006-2010",7846,609833.692676254,68
0,"F","66-70","2011-2015",9771,923496.76933608,68
0,"F","71-75","1996-2000",14391,512309.383299112,73
0,"F","71-75","2001-2005",12402,465603.918548941,73
0,"F","71-75","2006-2010",10505,472588.809034909,73
0,"F","71-75","2011-2015",11591,666710.501711161,73
0,"F","76-80","1996-2000",19302,434277.069815195,78
0,"F","76-80","2001-2005",17563,413414.186173854,78
0,"F","76-80","2006-2010",14884,378528.462012321,78
0,"F","76-80","2011-2015",15483,477058.941820671,78
0,"F","81-85","1996-2000",23612,311642.572895277,83
0,"F","81-85","2001-2005",22419,313403.326488706,83
0,"F","81-85","2006-2010",20430,302586.146475017,83
0,"F","81-85","2011-2015",20227,337184.412731006,83
0,"F","86-90","1996-2000",23934,183554.107460643,88
0,"F","86-90","2001-2005",23193,182996.109514031,88
0,"F","86-90","2006-2010",22600,189770.7816564,88
0,"F","86-90","2011-2015",23985,224789.106091718,88
0,"F","91-95","1996-2000",14741,65419.5626283368,93
0,"F","91-95","2001-2005",16542,74658.57357974,93
0,"F","91-95","2006-2010",16044,77310.0266940452,93
0,"F","91-95","2011-2015",19852,102464.212867899,93
0,"F","96-100","1996-2000",4002,11270.1984941821,97.5
0,"F","96-100","2001-2005",4891,14042.5585215606,97.5
0,"F","96-100","2006-2010",5501,16942.0390143737,97.5
0,"F","96-100","2011-2015",7020,22697.7460643395,97.5
1,"M","0-5","1996-2000",0,441.146475017112,2.5
1,"M","0-5","2001-2005",0,427.024640657084,2.5
1,"M","0-5","2006-2010",0,415.750855578371,2.5
1,"M","0-5","2011-2015",2,602.888432580424,2.5
1,"M","6-10","1996-2000",2,1144.74948665298,8
1,"M","6-10","2001-2005",1,1435.99520876112,8
1,"M","6-10","2006-2010",0,1405.66187542779,8
1,"M","6-10","2011-2015",0,1858.08145106092,8
1,"M","11-15","1996-2000",1,1769.1923340178,13
1,"M","11-15","2001-2005",1,2540.77891854894,13
1,"M","11-15","2006-2010",5,3074.73442847365,13
1,"M","11-15","2011-2015",3,3735.34428473648,13
1,"M","16-20","1996-2000",2,2957.31279945243,18
1,"M","16-20","2001-2005",5,3021.58042436687,18
1,"M","16-20","2006-2010",10,4059.15058179329,18
1,"M","16-20","2011-2015",4,5799.15331964408,18
1,"M","21-25","1996-2000",8,4696.10951403149,23
1,"M","21-25","2001-2005",9,4304.64681724846,23
1,"M","21-25","2006-2010",12,4390.24640657084,23
1,"M","21-25","2011-2015",15,7107.11293634497,23
1,"M","26-30","1996-2000",19,6518.64065708419,28
1,"M","26-30","2001-2005",26,6877.6372347707,28
1,"M","26-30","2006-2010",21,6409.19301848049,28
1,"M","26-30","2011-2015",19,8374.51813826146,28
1,"M","31-35","1996-2000",59,9243.19712525667,33
1,"M","31-35","2001-2005",52,9850.7440109514,33
1,"M","31-35","2006-2010",42,10340.4421629021,33
1,"M","31-35","2011-2015",38,11990.1779603012,33
1,"M","36-40","1996-2000",107,12174.8480492813,38
1,"M","36-40","2001-2005",115,15301.2546201232,38
1,"M","36-40","2006-2010",96,16009.6687200548,38
1,"M","36-40","2011-2015",88,19841.370294319,38
1,"M","41-45","1996-2000",183,16730.2217659138,43
1,"M","41-45","2001-2005",221,21707.7535934292,43
1,"M","41-45","2006-2010",223,26567.212183436,43
1,"M","41-45","2011-2015",188,32930.5085557837,43
1,"M","46-50","1996-2000",352,24123.0855578371,48
1,"M","46-50","2001-2005",422,30771.7597535934,48
1,"M","46-50","2006-2010",416,37703.4093086927,48
1,"M","46-50","2011-2015",442,55172.7488021903,48
1,"M","51-55","1996-2000",735,36603.0910335387,53
1,"M","51-55","2001-2005",712,43979.6776180698,53
1,"M","51-55","2006-2010",712,51954.3504449008,53
1,"M","51-55","2011-2015",845,75547,53
1,"M","56-60","1996-2000",974,35993.932238193,58
1,"M","56-60","2001-2005",1450,62684.1806981519,58
1,"M","56-60","2006-2010",1324,71513.9103353867,58
1,"M","56-60","2011-2015",1591,97299.173853525,58
1,"M","61-65","1996-2000",1508,35841.7549623545,63
1,"M","61-65","2001-2005",1815,57438.3059548255,63
1,"M","61-65","2006-2010",2462,94198.8288843258,63
1,"M","61-65","2011-2015",2760,123376.138945927,63
1,"M","66-70","1996-2000",2120,33875.9281314168,68
1,"M","66-70","2001-2005",2504,51303.5639972621,68
1,"M","66-70","2006-2010",2906,78442.2984257358,68
1,"M","66-70","2011-2015",4535,147677.524982888,68
1,"M","71-75","1996-2000",2826,30438.0869267625,73
1,"M","71-75","2001-2005",3070,42271.9103353867,73
1,"M","71-75","2006-2010",3455,62361.7289527721,73
1,"M","71-75","2011-2015",5327,114787.574264203,73
1,"M","76-80","1996-2000",3201,23525.3887748118,78
1,"M","76-80","2001-2005",3596,32149.318275154,78
1,"M","76-80","2006-2010",3846,43758.9178644764,78
1,"M","76-80","2011-2015",5587,79631.6009582478,78
1,"M","81-85","1996-2000",2644,13897.1594798083,83
1,"M","81-85","2001-2005",3274,18984.311430527,83
1,"M","81-85","2006-2010",3604,26135.2758384668,83
1,"M","81-85","2011-2015",5319,45491.735797399,83
1,"M","86-90","1996-2000",1675,5955.52292950034,88
1,"M","86-90","2001-2005",2056,7878.88637919233,88
1,"M","86-90","2006-2010",2405,10924.9493497604,88
1,"M","86-90","2011-2015",3701,19966.7802874743,88
1,"M","91-95","1996-2000",541,1292.47159479808,93
1,"M","91-95","2001-2005",705,1856.1074606434,93
1,"M","91-95","2006-2010",907,2639.58795345654,93
1,"M","91-95","2011-2015",1547,4968.9151266256,93
1,"M","96-100","1996-2000",80,175.636550308008,97.5
1,"M","96-100","2001-2005",113,215.628336755647,97.5
1,"M","96-100","2006-2010",160,344.094455852156,97.5
1,"M","96-100","2011-2015",287,564.488706365503,97.5
1,"F","0-5","1996-2000",0,399.815195071869,2.5
1,"F","0-5","2001-2005",1,422.986995208761,2.5
1,"F","0-5","2006-2010",1,431.032854209446,2.5
1,"F","0-5","2011-2015",0,407.977412731006,2.5
1,"F","6-10","1996-2000",0,997.380561259411,8
1,"F","6-10","2001-2005",1,1364.61190965092,8
1,"F","6-10","2006-2010",0,1431.97056810404,8
1,"F","6-10","2011-2015",0,1887.81108829569,8
1,"F","11-15","1996-2000",0,1647.37987679671,13
1,"F","11-15","2001-2005",2,2196.81519507187,13
1,"F","11-15","2006-2010",1,3003.30458590007,13
1,"F","11-15","2011-2015",3,3819.35044490075,13
1,"F","16-20","1996-2000",5,2611.42776920166,18
1,"F","16-20","2001-2005",7,2694.94045174538,18
1,"F","16-20","2006-2010",5,3984.57768651609,18
1,"F","16-20","2011-2015",4,6316.9582477755,18
1,"F","21-25","1996-2000",4,4072.43494189232,23
1,"F","21-25","2001-2005",10,3906.29896493042,23
1,"F","21-25","2006-2010",9,4538.58863791923,23
1,"F","21-25","2011-2015",10,7927.17727583847,23
1,"F","26-30","1996-2000",17,6094.7211289701,28
1,"F","26-30","2001-2005",16,6596.08187092757,28
1,"F","26-30","2006-2010",11,6639.69237925691,28
1,"F","26-30","2011-2015",13,8792.85694729637,28
1,"F","31-35","1996-2000",30,8792.72876430976,33
1,"F","31-35","2001-2005",21,9764.54851276127,33
1,"F","31-35","2006-2010",28,10976.6481449106,33
1,"F","31-35","2011-2015",19,11995.3293773913,33
1,"F","36-40","1996-2000",44,10568.3965282369,38
1,"F","36-40","2001-2005",47,13799.0680415242,38
1,"F","36-40","2006-2010",50,15416.6049721145,38
1,"F","36-40","2011-2015",38,19306.0757968417,38
1,"F","41-45","1996-2000",102,13197.8124572211,43
1,"F","41-45","2001-2005",125,16642.0657084189,43
1,"F","41-45","2006-2010",103,22379.3655030801,43
1,"F","41-45","2011-2015",103,30168.2142368241,43
1,"F","46-50","1996-2000",150,16199.7446954141,48
1,"F","46-50","2001-2005",187,21889.7097878166,48
1,"F","46-50","2006-2010",184,27717.4607718281,48
1,"F","46-50","2011-2015",251,43367.5496235455,48
1,"F","51-55","1996-2000",306,21848.4428473648,53
1,"F","51-55","2001-2005",357,29100.765229295,53
1,"F","51-55","2006-2010",366,36461.0798412661,53
1,"F","51-55","2011-2015",485,54601.7152729619,53
1,"F","56-60","1996-2000",459,22871.665982204,58
1,"F","56-60","2001-2005",624,39121.2621492129,58
1,"F","56-60","2006-2010",627,47581.1122518823,58
1,"F","56-60","2011-2015",792,67960.4330124095,58
1,"F","61-65","1996-2000",791,26139.006844627,63
1,"F","61-65","2001-2005",896,39646.7221081451,63
1,"F","61-65","2006-2010",1151,61633.6249144422,63
1,"F","61-65","2011-2015",1346,84159.4736481862,63
1,"F","66-70","1996-2000",1317,29573.3613963039,68
1,"F","66-70","2001-2005",1351,41234.0485968515,68
1,"F","66-70","2006-2010",1529,58320.196440794,68
1,"F","66-70","2011-2015",2163,103296.814510609,68
1,"F","71-75","1996-2000",2046,32160.9014373717,73
1,"F","71-75","2001-2005",2072,41308.8151950719,73
1,"F","71-75","2006-2010",2210,54865.1978097194,73
1,"F","71-75","2011-2015",2983,91686.106091718,73
1,"F","76-80","1996-2000",2913,31029.7618069815,78
1,"F","76-80","2001-2005",2926,38471.819301848,78
1,"F","76-80","2006-2010",3045,47592.1683778234,78
1,"F","76-80","2011-2015",3861,75823.7926078029,78
1,"F","81-85","1996-2000",3121,23404.900752909,83
1,"F","81-85","2001-2005",3572,30356.0109514031,83
1,"F","81-85","2006-2010",3675,36876.5585215606,83
1,"F","81-85","2011-2015",4701,55834.06091718,83
1,"F","86-90","1996-2000",2708,13223.7008898015,88
1,"F","86-90","2001-2005",3271,16648.370294319,88
1,"F","86-90","2006-2010",3616,21257.0951403149,88
1,"F","86-90","2011-2015",4719,33066.8767967146,88
1,"F","91-95","1996-2000",1311,3909.93292265572,93
1,"F","91-95","2001-2005",1722,5829.11978097194,93
1,"F","91-95","2006-2010",1970,7421.56399726215,93
1,"F","91-95","2011-2015",2935,12205.8056125941,93
1,"F","96-100","1996-2000",246,532.792607802875,97.5
1,"F","96-100","2001-2005",363,882.635181382615,97.5
1,"F","96-100","2006-2010",531,1281.21902806297,97.5
1,"F","96-100","2011-2015",788,2190.40041067762,97.5
